#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
867.78305,1428,3292.938541
2694.245555,1428,3296.508937
-279.902883,1428,3299.981703
148.403485,1428,3303.425033
-387.670186,1428,3306.929137
792.756982,1428,3310.415987
-243.759066,1428,3313.901257
-514.157273,1428,3317.386487
86.771526,1428,3320.851814
344.43433,1428,3324.339416
625.4644,1428,3327.830984
-317.350889,1428,3331.374827
-193.094214,1428,3335.053942
-153.606572,1428,3338.526608
1311.204082,1428,3342.095276
-502.124843,1428,3345.511987
-237.388758,1428,3349.024569
830.199862,1428,3352.522564
-256.236182,1428,3355.970951
-380.249587,1428,3359.370398
592.898988,1428,3362.871715
-134.587052,1428,3366.429176
929.282889,1428,3369.905614
927.296663,1428,3373.39493
-391.692402,1428,3376.91416
-215.738031,1428,3380.353164
-690.377223,1428,3383.82332
-217.008381,1428,3387.364487
-144.693173,1428,3390.870122
-318.27151,1428,3394.371828
-189.507809,1428,3397.907507
-608.847813,1428,3401.422048
1523.204204,1428,3405.015934
85.310407,1428,3408.595324
515.833637,1428,3412.097479
1086.29342,1428,3415.625381
3378.53455,1428,3419.158204
-414.925266,1428,3422.647762
-209.999901,1428,3426.157066
-275.378111,1428,3429.656408
-607.218885,1428,3433.102237
-438.676632,1428,3436.63925
1506.916271,1428,3440.10179
978.823987,1428,3443.537657
-305.544622,1428,3446.983283
98.757987,1428,3450.419187
96.549462,1428,3453.83438
2107.907318,1428,3457.514979
2138.131751,1428,3460.983031
2272.119875,1428,3464.431287
1003.583124,1428,3467.870168
-387.198152,1428,3471.346849
2492.715769,1428,3474.824958
2851.97145,1428,3478.299275
1233.23651,1428,3481.752929
155.609417,1428,3485.191199
2621.166597,1428,3488.644529
2431.616434,1428,3492.158248
-160.85978,1428,3495.606321
1816.861072,1428,3499.18197
-464.111796,1428,3502.631038
1222.461905,1428,3506.054089
1655.898634,1428,3509.529332
-147.389948,1428,3512.948108
-1087.600249,1428,3516.382063
1533.221778,1428,3519.834976
-274.611114,1428,3523.318021
-498.903677,1428,3526.707709
-197.905421,1428,3530.18689
-4.894768,1428,3533.671275
2360.652889,1428,3537.171782
-715.430779,1428,3540.584775
-242.703806,1428,3543.981364
-812.022531,1428,3547.41078
-962.565662,1428,3550.831493
83.251755,1428,3554.246446
1369.205579,1428,3557.695726
542.724518,1428,3561.147662
163.129051,1428,3564.611204
4323.431736,1428,3568.065411
3947.253638,1428,3571.551127
201.809088,1428,3575.029843
-176.887935,1428,3578.465118
-94.469465,1428,3581.930015
870.703641,1428,3585.659007
-441.479906,1428,3589.090798
-234.938095,1428,3592.514585
-578.219597,1428,3595.913091
-417.92048,1428,3599.344581
93.864186,1428,3602.804718
1127.981741,1428,3606.233098
1357.373207,1428,3609.716452
-122.120021,1428,3613.130849
966.321482,1428,3616.597619
-129.117427,1428,3620.043343
-207.795317,1428,3623.475802
3740.870334,1428,3626.924711
176.999873,1428,3630.353465
-486.084823,1428,3633.8406
2157.546647,1428,3637.273952
432.204266,1428,3640.735259
-145.303386,1428,3644.207836
2106.330386,1428,3647.676341
2190.511376,1428,3651.174622
-388.669929,1428,3654.585014
14.342319,1428,3658.014997
-136.607772,1428,3661.470205
-207.732451,1428,3664.914319
-595.35549,1428,3668.369671
804.334453,1428,3671.900822
1027.505381,1428,3675.360618
791.009926,1428,3679.002192
391.140445,1428,3682.48193
-210.880575,1428,3685.974262
2880.755141,1428,3689.503781
-144.690521,1428,3693.013263
1604.601061,1428,3696.519263
-585.128236,1428,3699.95378
-151.390472,1428,3703.503178
-1.430393,1428,3706.981546
1465.721277,1428,3710.488297
-111.287424,1428,3714.197783
-379.284171,1428,3717.784372
-163.226091,1428,3721.259978
6.322376,1428,3724.791174
2120.948978,1428,3728.314467
1471.365779,1428,3731.813922
-520.684072,1428,3735.284543
29.850863,1428,3738.714979
-202.715316,1428,3742.154433
-855.508632,1428,3745.606534
3697.849036,1428,3749.160235
-63.836868,1428,3752.60788
1843.718786,1428,3756.112855
299.371717,1428,3759.574605
-537.878988,1428,3763.063574
1168.097932,1428,3766.522508
-147.728752,1428,3770.006309
603.500163,1428,3773.570482
721.903895,1428,3777.063421
-237.989982,1428,3780.62817
1373.512793,1428,3784.135003
